gamesPlayed,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,catchersInterference,atBatsPerHomeRun,player_numeric
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282112.0
1384,1276,1266,816,287,12,279,1221,725,22,1310,58,.261,5022,.358,.489,.847,10,40,.800,135,23596,5856,2458,816,1967,5,46,.289,1.01,0,18.00,931072.0
216,78,30,8,4,0,0,90,4,0,22,0,.110,200,.127,.130,.257,0,0,0,2,685,224,26,5,134,20,0,.200,2.60,0,0,736576.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,814528.0
118,46,15,11,4,0,1,15,2,0,23,0,.258,89,.275,.337,.612,0,0,0,1,330,101,30,4,35,10,0,.301,3.07,0,89.00,636736.0
542,296,435,260,78,4,51,518,258,2,358,28,.225,1593,.341,.375,.716,3,32,.914,9,7911,1898,597,188,660,5,9,.297,0.68,5,31.24,870912.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,503552.0
525,369,374,190,93,3,67,476,241,9,367,14,.234,1567,.338,.426,.764,7,6,.462,22,7776,1841,667,238,697,0,19,.288,0.99,0,23.39,17664.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131456.0
175,2,0,0,0,0,0,3,0,0,0,0,.000,5,.000,.000,.000,0,0,0,0,19,5,0,0,2,0,0,.000,2.00,0,0,633728.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,299776.0
278,314,235,127,55,4,40,199,39,1,289,7,.283,1023,.309,.461,.770,1,2,.667,36,3730,1083,472,153,488,0,14,.312,1.34,0,25.58,190592.0
246,180,182,110,33,2,45,248,128,8,193,4,.241,801,.348,.456,.804,1,1,.500,19,3840,935,365,119,369,0,2,.290,0.99,0,17.80,340352.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,704896.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,806144.0
121,0,0,0,0,0,0,0,0,0,0,0,.000,0,.000,.000,.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245120.0
1133,1134,1022,630,241,13,188,987,513,28,1164,29,.273,4263,.352,.468,.820,9,33,.786,138,19441,4850,1995,677,1889,0,44,.312,1.11,1,22.68,50432.0
35,2,0,0,0,0,0,3,0,0,0,0,.000,4,.000,.000,.000,0,0,0,0,16,5,0,0,3,1,0,.000,2.00,0,0,519680.0
128,0,0,0,0,0,0,0,0,0,0,0,.000,0,.000,.000,.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82240.0
709,726,539,272,102,9,31,438,176,1,646,34,.277,2331,.335,.369,.704,14,41,.745,78,9673,2559,859,231,920,6,12,.328,1.35,0,75.19,921344.0
221,139,73,27,9,0,3,116,17,0,78,0,.204,383,.238,.251,.489,0,1,1.000,8,1404,423,96,29,190,23,0,.284,1.90,0,127.67,426112.0
