2023 OPS
.734
.500
.739
.247
.000
.368
.726
.819
.566
.839
.000
.000
.924
.564
.652
.730
.716
.782
.500
.643
.000
.735
.757
.647
.719
.558
.622
.793
.908
.848
.614
.657
.797
.608
.623
.715
.691
.000
.786
.691
.497
.733
.872
.526
.613
.624
.708
.521
.697
.793
.661
.581
.685
.831
.325
.577
.516
.369
.642
.814
.628
.209
.741
.660
.463
.727
.783
.793
.500
.810
.775
.703
.624
.000
.686
.584
.000
.463
.562
.574
.745
.710
.724
.684
.761
.695
.609
.674
.827
.800
.791
.410
.699
.000
.730
.614
.657
.700
.611
.508
.000
.695
.679
.723
.575
.550
.619
.634
.573
.633
.631
.536
.577
.641
.690
.721
.570
.469
.799
.670
.716
.638
.000
.591
.652
.993
.689
.717
.766
.614
.708
.767
.764
.895
.748
.404
.747
.733
.705
.977
.000
.423
.831
.686
.610
.302
.744
.734
.665
.000
.655
.760
.393
.626
.657
.655
.748
.751
.761
.396
.646
.759
.337
.670
.775
.673
.763
.747
.566
.631
.682
.619
.905
.697
.759
.634
.654
.772
.446
.769
.675
.687
.707
.749
.657
.524
.688
.647
.658
.711
.788
.593
.622
.796
.865
.451
.763
.569
.601
.000
.810
.615
.376
.683
.761
.536
.636
.100
.979
.686
.000
.646
.603
.693
.687
.738
.755
.791
.524
.702
.648
.609
.523
.773
.410
.927
.552
.590
.721
.599
.647
.000
.749
1.000
.745
.192
.760
.613
.710
.662
.637
.627
.595
.000
.651
.000
.848
.587
.000
.531
.668
.699
.465
.660
.278
.699
.700
.667
.783
.518
.721
.603
.784
.563
.545
.641
.641
.250
.588
.671
.000
.722
.652
.807
.317
.799
.583
.847
.893
.624
.515
.465
.719
.818
.734
.575
.632
.709
.832
.438
.859
.000
.568
.493
.707
.712
.578
.590
.000
.645
.635
.650
.607
.575
.780
.749
.453
.000
.709
.691
.676
.160
.415
.790
.743
.506
.528
.758
.700
.622
.673
.932
.581
.627
.863
.654
.851
.782
.571
.562
.738
.697
.652
.362
.764
.836
.688
.760
.686
.610
.633
.556
.682
.000
.895
.601
.692
.739
.638
.768
.773
.520
.654
.413
.636
.791
.814
.726
.421
1.036
.910
.654
.575
.541
.776
.394
.818
.830
.780
.640
.337
.598
.620
.000
.642
.698
.611
.645
.761
.633
.761
.750
.682
.747
.720
.733
.708
2.067
.743
.723
.898
.620
.692
.621
.619
.500
.762
.646
.626
.820
.000
.604
.768
.655
.686
.665
.790
.000
.866
.617
.608
.797
.639
.549
.671
.714
