gamesPlayed,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,catchersInterference,atBatsPerHomeRun,2024 OPS,player_numeric
222,1,0,0,0,0,0,2,0,0,0,0,.000,3,.000,.000,.000,0,0,0,0,12,3,0,0,1,0,0,.000,1.00,0,0,0,886080.0
67,0,0,0,0,0,0,1,0,0,0,0,.000,1,.000,.000,.000,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,116288.0
202,2,0,1,1,0,0,3,0,0,2,0,.286,7,.286,.429,.715,0,0,0,1,27,7,3,0,1,0,0,.500,2.00,0,0,0,699328.0
199,171,148,72,24,1,16,127,38,1,161,4,.269,599,.314,.392,.706,1,2,.667,21,2552,649,235,71,256,2,6,.314,1.16,0,37.44,.685,965888.0
47,0,0,0,0,0,0,1,0,0,0,0,.000,1,.000,.000,.000,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,433024.0
89,0,0,0,0,0,0,0,0,0,0,0,.000,0,.000,.000,.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47488.0
83,0,0,0,0,0,0,0,0,0,0,0,.000,0,.000,.000,.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,825856.0
301,0,0,0,0,0,0,0,0,0,0,0,.000,0,.000,.000,.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,998720.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171264.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,461120.0
130,53,23,8,3,0,1,46,9,0,19,0,.154,123,.209,.203,.412,1,1,.500,0,586,150,25,7,60,16,2,.231,2.30,0,123.00,0,177600.0
55,0,0,0,0,0,0,1,0,0,0,0,.000,1,.000,.000,.000,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,710208.0
